Year,Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
13780BP,12.7413894043,12.8667928467,15.1646981201,16.7750028687,16.9995019531,14.9518600918
13760BP,12.4648024902,12.5548269043,14.360545166,15.5142665405,15.6269921875,14.1749900118
13740BP,13.086390625,13.2267919312,15.4338967285,16.7472471313,16.939296875,15.1631137181
13720BP,13.5945998535,13.789949585,15.8887001953,16.9228239136,17.0967004395,15.5778468441
13700BP,12.5597976074,12.6833226929,14.7022596436,15.8912745972,16.0370996094,14.4600166009
13680BP,13.1675979004,13.3678487549,15.596201416,16.8120740967,16.9969995117,15.3045308634
13660BP,13.720197998,13.9252980957,16.1267495117,17.2539075928,17.4397058105,15.8136297758
13640BP,12.4664992676,12.5994481812,14.7086464844,15.948953064,16.1048059082,14.4543470929
13620BP,12.9887954102,13.1611242065,15.4910500488,16.9703504639,17.1873010254,15.2386272154
13600BP,13.0555007324,13.2299993286,15.5040505371,16.886427124,17.0942041016,15.2395303993
13580BP,13.0498977051,13.2351964722,15.4884041748,16.7200071411,16.8932092285,15.1942924647
13560BP,12.9534987793,13.0965734253,15.4233498535,16.8801740723,17.0602990723,15.1701043067
13540BP,12.6297988281,12.7932470093,14.9439980469,16.1623731689,16.3428979492,14.6686060266
13520BP,13.199104248,13.3912786255,15.6690438232,17.0190275269,17.2292993164,15.3964471815
13500BP,12.8833999023,13.0224492798,15.4848977051,17.1665235596,17.3663964844,15.2588218478
13480BP,13.5426955566,13.7586477051,16.2230507812,17.7296217041,17.9666955566,15.942570507
13460BP,12.8229995117,12.9746740112,15.1003945312,16.3305982666,16.5006982422,14.8366588526
