ybp,K_ID,Lat,Lon,Acer,Achillea_t,Aconitum,Agrimonia,Alchemilla,Alnus,Anagallis,Anemone_t,Apiaceae,Armeria,Artemisia,Asteraceae,Asteraceae_liguliflorae,Asteraceae_tubuliflorae,Astragalus,Betula,Betula_nana_t,Boraginaceae,Brassicaceae,Calluna_vulgaris,Campanula,Cannabis_t,Carpinus,Caryophyllaceae,Centaurea_cyanus,Centaurea_sp,Cerastium_t,Cerealia_sum,Chenopodiaceae,Chrysosplenium,Circaea,Cirsium_t,Convolvulaceae,Corylus,Cyperaceae,Daphne,Dianthus,Dipsacaceae,Drosera,Dryas,Empetraceae,Epilobium,Epilobium_angustifolium,Ericaceae,Fabaceae,Fagopyrum_esculentum,Fagus,Fallopia_convolvulus,Filipendula,Frangula,Fraxinus,Galium_t,Gentianaceae,Geranium,Geum,Hedera,Helianthemum,Helianthus_t,Hippophae,Humulus,Hypericum,Impatiens,Jasione,Juniperus,Knautia,Lamiaceae,Liliaceae,Linum_catharcticum,Linum_usitatissimum,Lychnis_t,Lycopus,Lysimachia,Lythrum,Melampyrum,Mentha,Mercurialis,Myrica_t,Odontites,Onagraceae,Ononis,Oxyria_t,Papaveraceae,Parnassia,Picea,Pinus,Plantago_lanceolata,Plantago_majormedia_t,Plantago_maritima_t,Plantago_sp,Poaceae,Polemoniaceae,Polygala,Polygonum_aviculare,Polygonum_persicaria,Populus,Potentilla,Primulaceae,Prunella,Pulmonaria,Quercus,Ranunculaceae,Ranunculus_acris_t,Rhamnus,Rhinanthus,Rosaceae,Rubus_chamaemorus,Rumex,Rumex_acac_t,Rumex_longifolium,Salix,Sambucus,Sanguisorba,Saxifraga,Scheuchzeria_palustris,Scrophularia,Scrophulariaceae,Secale,Sedum,Solanum,SolidagoSaussurea_t,Sorbus,Spergula,Stachys,Succisa,Taxus,Teucrium_t,Thalictrum_t,Tilia,Trientalis,Trifolium_t,Trollius,Ulmus,Urtica,Vaccinum_t,Valeriana,Veronica,Viburnum,Vicia,Viola,Viscum
754.210526,K24,59.076944,24.099722,0,0,0,0,0,190,0,0,0,0,2,0,0,0,0,313,0,0,0,33,0,0,4,0,0,0,0,1,1,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,308,2,0,0,0,13,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0
734.987805,K4,59.466667,26.521944,0,0,0,0,0,234,0,0,2,0,7,0,0,0,0,296,0,0,0,359,0,0,3,0,0,0,0,0,1,0,0,0,0,32,6,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,313,1,0,0,0,6,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0
727.857142,K34,57.738889,26.905,1,0,0,0,0,97,0,0,0,0,3,0,3,1,0,386,0,0,0,1,0,0,5,0,0,0,0,6,0,0,0,0,0,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,351,1,0,0,0,12,0,0,0,0,2,0,0,0,0,19,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,2,0,0,0,0,1,0,0
726.368421,K16,58.796944,24.436111,0,0,0,0,0,120,0,0,2,0,10,0,1,0,0,503,4,0,0,44,0,0,3,0,0,0,0,6,1,0,0,0,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,267,1,0,0,0,34,0,0,0,0,3,2,0,0,0,16,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
719.117647,K19,57.859444,27.175,0,0,0,0,0,192,0,0,0,0,2,0,0,0,0,557,0,0,10,3,0,3,3,1,1,0,0,4,0,0,0,0,0,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,229,0,0,0,0,121,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,6,0,0,1,1,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
705.449438,K32,57.676944,27.077222,0,0,0,0,0,138,0,0,1,0,5,0,1,1,0,332,1,0,6,3,0,2,1,0,0,0,0,6,1,0,0,0,0,13,18,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,222,1,0,0,0,98,0,0,0,0,2,0,0,0,0,19,0,0,0,0,1,0,22,0,0,2,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
704.98,K22,59.441667,25,0,0,0,0,0,228,0,0,18,0,10,0,0,26,0,401,0,0,8,8,0,4,1,0,2,0,0,19,4,0,0,0,0,26,165,0,0,0,0,0,0,0,0,8,0,0,0,0,14,1,1,13,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,54,292,3,1,0,0,187,0,0,0,0,3,3,0,0,0,12,0,2,0,3,4,0,0,18,0,24,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,5,0,2,0,7,0,0,0,0,0,0,0,0
701.263158,K24,59.076944,24.099722,0,0,0,0,0,144,0,0,2,0,3,0,0,0,0,383,0,0,0,162,0,0,3,0,0,0,0,2,2,0,0,0,0,19,15,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,336,0,0,0,0,28,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0
687.794118,K19,57.859444,27.175,1,0,0,0,0,139,0,0,0,0,2,0,0,1,0,504,0,0,36,4,0,9,5,1,0,0,0,4,0,0,0,0,0,7,39,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,71,300,2,0,0,0,125,0,0,0,0,11,0,0,0,0,18,0,0,0,0,4,0,13,0,0,9,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,4,0,0,0,0,0,0,0
672.132353,K19,57.859444,27.175,0,0,0,0,0,122,0,0,1,0,13,0,0,3,0,321,5,0,13,3,0,19,1,0,1,0,0,2,3,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,297,2,0,0,0,91,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,7,0,0,5,1,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,1,0,0,0
669.428571,K34,57.738889,26.905,1,0,0,0,0,110,0,0,0,0,2,0,1,1,0,339,0,0,0,2,0,1,6,0,0,0,0,11,0,0,0,0,0,10,19,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,390,0,0,0,0,14,0,0,0,0,2,0,0,0,0,19,0,0,0,1,2,0,0,1,0,15,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,4,0,0,0,10,2,0,0,0,0,0,0,0
666.9,K47,58.330278,22.060556,1,0,0,0,0,237,0,0,6,0,8,0,0,0,0,186,0,0,0,7,0,0,5,0,0,0,0,0,2,0,0,0,0,97,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,148,158,0,0,0,0,107,0,0,0,0,0,0,0,0,0,45,0,0,0,0,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,51,0,0,0,0,0,0,0,0
660.428571,K6,57.583056,27.238611,2,0,0,0,0,177,0,0,0,0,2,0,0,0,0,330,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,81,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,225,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,0,1,0,0,2,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,67,0,0,0,1,0,0,0,0
656.470588,K19,57.859444,27.175,0,0,0,0,0,132,0,0,2,0,8,0,0,1,0,298,1,0,21,10,0,18,6,0,0,0,0,8,2,0,0,0,0,3,31,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,85,439,4,0,0,0,147,0,0,0,0,1,0,0,0,0,14,0,0,0,0,6,0,11,0,0,5,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,13,0,0,0,0,0,0,0
648.315789,K24,59.076944,24.099722,0,0,0,0,0,101,0,0,1,0,6,0,0,1,0,408,0,0,0,63,0,0,6,0,0,0,0,4,0,0,0,0,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,313,1,0,0,0,26,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,0,0,0,1,0,0,0
640.808824,K19,57.859444,27.175,1,0,0,0,0,140,1,0,0,0,8,0,0,1,0,369,1,0,25,4,0,12,1,0,3,0,0,3,0,0,0,0,1,7,31,0,0,0,0,0,0,0,0,4,0,0,0,0,6,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,334,2,0,0,0,85,0,0,0,0,3,0,0,0,0,18,0,0,1,0,5,0,17,0,0,3,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0
635.736842,K16,58.796944,24.436111,0,0,0,0,0,97,0,0,1,0,3,0,0,0,0,508,5,0,0,46,0,0,4,0,0,0,0,4,1,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,290,0,0,0,0,60,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,2,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,2,0,0,0,0,0,0
630,K49,57.808333,27.058333,0,0,0,0,0,140,0,0,0,0,2,0,0,1,0,551,0,0,5,4,0,1,0,1,0,0,0,0,0,0,0,0,0,32,7,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,266,0,0,0,0,53,0,0,0,0,3,0,0,0,0,27,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,5,0,0,0,0,0,0,0
625.147059,K19,57.859444,27.175,0,0,0,0,0,141,0,0,1,0,13,0,1,0,0,355,0,0,50,4,0,12,0,2,4,0,0,1,1,0,0,0,1,6,29,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53,324,0,3,0,0,138,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,6,0,0,16,0,0,0,0,0,0,41,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,19,0,0,0,0,0,0,0
620.955056,K32,57.676944,27.077222,0,0,0,0,0,148,0,0,1,0,9,0,3,1,0,372,1,0,10,13,0,12,1,2,0,0,0,6,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,254,1,0,0,0,112,0,0,0,0,4,0,0,0,0,17,0,0,1,0,2,0,43,0,0,5,1,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,2,0,0,0,0,0,0,0
